Timestamp,Team Number,Team Name,Auto One: Starting Positions,Auto One: Capabilities,Auto Two: Starting Positions,Auto Two: Capabilities,More Autos if Needed,Tele-Op Priority [Scale],Tele-Op Priority [Friendly Switch],Tele-Op Priority [Opponent Switch],Tele-Op Priority [Portal],Tele-Op Priority [Defense],Switch Cycle Time (if applicable),Scale Cycle Time (if applicable),Portal Cycle Time (if applicable),Intake Capabilities,Climbing,Overall Rating of the Team,Reason
3/29/2018 9:54:40,8,,Middle,Two Cubes in Switch,"Far Left, Far Right","One Cube in Switch, One Cube in Scale, Only if on same side",,Top Priority,Second Priority,Top Priority,Capability,Incapability,,,,"Ground, Human Player, Portal",Climbs Alone,7,
3/29/2018 10:11:40,192,,Middle,"Cross Auto Line, One Cube in Switch","Far Left, Far Right",Cross Auto Line,,Third Priority,Second Priority,Capability,Top Priority,Incapability,Fast,Slow,,"Ground, Human Player, Portal",,3,Slow scale. No climb
3/29/2018 11:01:50,253,,Middle,One Cube in Switch,"Far Left, Far Right","Cross Auto Line, One Cube in Switch, One Cube in Scale",,Top Priority,Second Priority,Second Priority,Third Priority,Incapability,,,,"Ground, Human Player, Portal",,5,
3/29/2018 10:46:14,254,,"Far Left, Middle, Far Right",three cubes in the scale,,,,Top Priority,Second Priority,Capability,Capability,Capability,,,,"Ground, Human Player, Portal","Climbs Alone, Other Robots can Climb on Them w/ Their Own Climbing System",9,
3/29/2018 10:33:49,256,,"Far Left, Middle, Far Right",One Cube in Switch,,,,Incapability,Top Priority,Capability,Capability,Capability,,,,Ground,"Climbs Alone, Hasn’t been tested",5,
3/29/2018 10:18:29,383,,"Far Left, Middle, Far Right","Cross Auto Line, One Cube in Switch",,,,Top Priority,Top Priority,Capability,Capability,Capability,,9 cubes in vault in match,,"Ground, Human Player, Portal","Climbs Alone, Can climb super fast",8,
3/29/2018 10:13:03,581,,"Far Left, Far Right","Cross Auto Line, One Cube in Scale",,,,Top Priority,Capability,Capability,Capability,Capability,,,,"Ground, Human Player, Portal",Working on a climber ,6,
3/29/2018 9:59:23,604,,Middle,"Cross Auto Line, One Cube in Switch","Far Left, Far Right","Cross Auto Line, One Cube in Scale",,Top Priority,Second Priority,Capability,Capability,Capability,under 5 seconds ,10-12 seconds ,9 cubes in vault in 30 seconds,Ground,No climber ,7,
3/29/2018 9:45:02,668,,"Far Left, Far Right","Cross Auto Line, One Cube in Switch, One Cube in Scale",Middle,One Cube in Switch,,Top Priority,Capability,Capability,Capability,Capability,,5-6cubes in a match ,,"Ground, Human Player, Portal",No climber,7,
3/29/2018 10:35:32,670,,"Far Left, Middle, Far Right","Cross Auto Line, One Cube in Switch, One Cube in Scale, scale hit or miss",,,,Top Priority,Top Priority,Capability,Capability,Capability,,,,Ground,Climbs Alone,7,
3/29/2018 10:47:50,751,,"Far Left, Middle, Far Right","Cross Auto Line, Not tested switch and scale codes",,,,Capability,Top Priority,Second Priority,Capability,Capability,,,,Ground,"Climbs Alone, Hasn’t tested climbing mechanism ",6,
3/29/2018 10:59:23,841,,"Far Left, Far Right",Cross Auto Line,,,,Incapability,Top Priority,Second Priority,Third Priority,Capability,,,,Ground,,3,Like us but no climb
